sweep_val,sweep_val_2,seed,seed_path,N,rho,n_unstable,n_found,n_target,per_pair_found,readout_pr,r2_in,r2_out,train_T,dt,n_cycles_slow,samples_per_period_fast
128,,0,/home/facosta/timescales/timescales/logs/experiments/sine_wave_hetero_N_sweep_20260414_040716/N_128/seed_0,128,1.000017543142863,2,4,6,"[2, 2, 0]",114.9894841189184,0.9997331864792052,-0.9223521951944025,500,0.1,0.5,200.0
256,,0,/home/facosta/timescales/timescales/logs/experiments/sine_wave_hetero_N_sweep_20260414_040716/N_256/seed_0,256,0.9999922646474263,0,4,6,"[2, 2, 0]",227.40464014600616,0.9997723280104638,-1.194201352947318,500,0.1,0.5,200.0
512,,0,/home/facosta/timescales/timescales/logs/experiments/sine_wave_hetero_N_sweep_20260414_040716/N_512/seed_0,512,0.9997971263747286,0,4,6,"[2, 2, 0]",460.7587952041288,0.9992940211739295,-0.5544288298976172,500,0.1,0.5,200.0
64,,0,/home/facosta/timescales/timescales/logs/experiments/sine_wave_hetero_N_sweep_20260414_040716/N_64/seed_0,64,0.9999976345079518,0,4,6,"[2, 2, 0]",59.317271457114835,0.9997406574496068,-0.7632883194084632,500,0.1,0.5,200.0
